Image_No,Similarity_Score
322,0.3722139298915863
257,0.37169258296489716
504,0.37098146975040436
121,0.3708493113517761
304,0.3705807626247406
274,0.36898501217365265
143,0.36809371411800385
215,0.3678746223449707
355,0.36667226254940033
256,0.36654576659202576
384,0.3656453490257263
351,0.3656444698572159
472,0.3656027317047119
122,0.3654145896434784
66,0.36467263102531433
31,0.3643779307603836
78,0.36308275163173676
157,0.3625686764717102
298,0.36169514060020447
510,0.36112889647483826
503,0.3610706180334091
40,0.36008234322071075
522,0.3588942736387253
463,0.35774239897727966
537,0.35698534548282623
160,0.3565676659345627
391,0.3532271832227707
206,0.3524181693792343
339,0.352398544549942
176,0.35087499022483826
138,0.35025617480278015
119,0.3490115851163864
71,0.3474283218383789
61,0.3424912840127945
39,0.33984705805778503
